id,store,address,latitude,longitude,store_type,product_category,city_region
MER_184,Harbor Freight Tools,"6500 Hull St, Richmond VA 23224",37.4804798,-77.5121596,Hardware,Hardware,South Richmond
MER_185,Pleasants Hardware,"5140 Jefferson Davis Hwy, Richmond VA 23224",37.4610055,-77.4424067,Hardware,Hardware,South Richmond
MER_186,Ben Franklin Crafts,"9744 Midlothian Tpke, Richmond, VA 23235",37.5042952,-77.5733787,Art Supply Store,Art and Art Supplies,South Richmond
MER_187,Nest Antiques Arts & Gifts,"3404 Semmes Ave, Richmond, VA 23225",37.5156927,-77.4693681,Boutique Store,Antique & Gift Shops,South Richmond
MER_188,Fralin Art & Frame,"3412 Semmes Ave, Richmond, VA 23225",37.5156281,-77.4696258,Boutique Store,Art and Art Supplies,South Richmond
MER_189,Its Fashion Metro,"449 E Belt Blvd, Richmond, VA 23224",37.504865,-77.4737364,Clothing,Apparel,South Richmond
MER_190,Sterling Boutique,"2622 Buford Rd, Richmond, VA 23235",37.5344528,-77.5622169,Women's Clothing & Accessories,Apparel & Accessories,South Richmond
MER_191,Cato Fashions,"271 Wadsworth Dr, Richmond, VA 23236",37.4928052,-77.5581382,Clothing,Apparel,South Richmond
MER_192,Virginia Automotive Parts,"227 E Belt Blvd, Richmond, VA 23224",37.5058226,-77.4798096,Automotive,Automotive Supplies,South Richmond
MER_193,Randalls Electronics,"5700 Jefferson Davis Hwy Richmond, VA 23234",37.4520245,-77.4416143,Electronics,Electronics,South Richmond
MER_194,Keith Fabry,"1420 Commerce Rd, Richmond, VA 23224",37.509026,-77.4304392,Office and Printing,Office Supplies,South Richmond
